candidate,contest,reporting_unit,votes,county,ctv,municipality
DONALD J. TRUMP / JD VANCE,1) PRESIDENT / VICE PRESIDENT,T SUGAR CAMP W 1-2,862,ONEIDA,T,SUGAR CAMP
DONALD J. TRUMP / JD VANCE,1) PRESIDENT / VICE PRESIDENT,T THREE LAKES W 1-4,1187,ONEIDA,T,THREE LAKES
DONALD J. TRUMP / JD VANCE,1) PRESIDENT / VICE PRESIDENT,T WOODBORO W 1,387,ONEIDA,T,WOODBORO
DONALD J. TRUMP / JD VANCE,1) PRESIDENT / VICE PRESIDENT,T WOODRUFF W 1-3,818,ONEIDA,T,WOODRUFF
DONALD J. TRUMP / JD VANCE,1) PRESIDENT / VICE PRESIDENT,C RHINELANDER W 1-17,1895,ONEIDA,C,RHINELANDER
RANDALL TERRY / STEPHEN BRODEN,1) PRESIDENT / VICE PRESIDENT,T CASSIAN W 1-2,0,ONEIDA,T,CASSIAN
RANDALL TERRY / STEPHEN BRODEN,1) PRESIDENT / VICE PRESIDENT,T CRESCENT W 1-3,2,ONEIDA,T,CRESCENT
RANDALL TERRY / STEPHEN BRODEN,1) PRESIDENT / VICE PRESIDENT,T ENTERPRISE W 1,0,ONEIDA,T,ENTERPRISE
RANDALL TERRY / STEPHEN BRODEN,1) PRESIDENT / VICE PRESIDENT,T HAZELHURST W 1-2,1,ONEIDA,T,HAZELHURST
RANDALL TERRY / STEPHEN BRODEN,1) PRESIDENT / VICE PRESIDENT,T LAKE TOMAHAWK W 1-2,3,ONEIDA,T,LAKE TOMAHAWK
RANDALL TERRY / STEPHEN BRODEN,1) PRESIDENT / VICE PRESIDENT,T LITTLE RICE W 1,1,ONEIDA,T,LITTLE RICE
RANDALL TERRY / STEPHEN BRODEN,1) PRESIDENT / VICE PRESIDENT,T LYNNE W 1,0,ONEIDA,T,LYNNE
RANDALL TERRY / STEPHEN BRODEN,1) PRESIDENT / VICE PRESIDENT,T MINOCQUA W 1-7,4,ONEIDA,T,MINOCQUA
RANDALL TERRY / STEPHEN BRODEN,1) PRESIDENT / VICE PRESIDENT,T MONICO W 1,0,ONEIDA,T,MONICO
RANDALL TERRY / STEPHEN BRODEN,1) PRESIDENT / VICE PRESIDENT,T NEWBOLD W 1,0,ONEIDA,T,NEWBOLD
RANDALL TERRY / STEPHEN BRODEN,1) PRESIDENT / VICE PRESIDENT,T NEWBOLD W 2-4,4,ONEIDA,T,NEWBOLD
RANDALL TERRY / STEPHEN BRODEN,1) PRESIDENT / VICE PRESIDENT,T NOKOMIS W 1-2,1,ONEIDA,T,NOKOMIS
RANDALL TERRY / STEPHEN BRODEN,1) PRESIDENT / VICE PRESIDENT,T PELICAN W 1- 4,7,ONEIDA,T,PELICAN
RANDALL TERRY / STEPHEN BRODEN,1) PRESIDENT / VICE PRESIDENT,T PIEHL W 1,0,ONEIDA,T,PIEHL
RANDALL TERRY / STEPHEN BRODEN,1) PRESIDENT / VICE PRESIDENT,T PINE LAKE W 1-4,3,ONEIDA,T,PINE LAKE
RANDALL TERRY / STEPHEN BRODEN,1) PRESIDENT / VICE PRESIDENT,T SCHOEPKE W 1,1,ONEIDA,T,SCHOEPKE
RANDALL TERRY / STEPHEN BRODEN,1) PRESIDENT / VICE PRESIDENT,T STELLA W 1-2,0,ONEIDA,T,STELLA
RANDALL TERRY / STEPHEN BRODEN,1) PRESIDENT / VICE PRESIDENT,T SUGAR CAMP W 1-2,2,ONEIDA,T,SUGAR CAMP
RANDALL TERRY / STEPHEN BRODEN,1) PRESIDENT / VICE PRESIDENT,T THREE LAKES W 1-4,3,ONEIDA,T,THREE LAKES
RANDALL TERRY / STEPHEN BRODEN,1) PRESIDENT / VICE PRESIDENT,T WOODBORO W 1,2,ONEIDA,T,WOODBORO
RANDALL TERRY / STEPHEN BRODEN,1) PRESIDENT / VICE PRESIDENT,T WOODRUFF W 1-3,1,ONEIDA,T,WOODRUFF
RANDALL TERRY / STEPHEN BRODEN,1) PRESIDENT / VICE PRESIDENT,C RHINELANDER W 1-17,6,ONEIDA,C,RHINELANDER
CHASE RUSSELL OLIVER / MIKE TER MAAT,1) PRESIDENT / VICE PRESIDENT,T CASSIAN W 1-2,1,ONEIDA,T,CASSIAN
CHASE RUSSELL OLIVER / MIKE TER MAAT,1) PRESIDENT / VICE PRESIDENT,T CRESCENT W 1-3,5,ONEIDA,T,CRESCENT
CHASE RUSSELL OLIVER / MIKE TER MAAT,1) PRESIDENT / VICE PRESIDENT,T ENTERPRISE W 1,2,ONEIDA,T,ENTERPRISE
CHASE RUSSELL OLIVER / MIKE TER MAAT,1) PRESIDENT / VICE PRESIDENT,T HAZELHURST W 1-2,4,ONEIDA,T,HAZELHURST
CHASE RUSSELL OLIVER / MIKE TER MAAT,1) PRESIDENT / VICE PRESIDENT,T LAKE TOMAHAWK W 1-2,3,ONEIDA,T,LAKE TOMAHAWK
CHASE RUSSELL OLIVER / MIKE TER MAAT,1) PRESIDENT / VICE PRESIDENT,T LITTLE RICE W 1,0,ONEIDA,T,LITTLE RICE
CHASE RUSSELL OLIVER / MIKE TER MAAT,1) PRESIDENT / VICE PRESIDENT,T LYNNE W 1,0,ONEIDA,T,LYNNE
CHASE RUSSELL OLIVER / MIKE TER MAAT,1) PRESIDENT / VICE PRESIDENT,T MINOCQUA W 1-7,13,ONEIDA,T,MINOCQUA
CHASE RUSSELL OLIVER / MIKE TER MAAT,1) PRESIDENT / VICE PRESIDENT,T MONICO W 1,0,ONEIDA,T,MONICO
CHASE RUSSELL OLIVER / MIKE TER MAAT,1) PRESIDENT / VICE PRESIDENT,T NEWBOLD W 1,0,ONEIDA,T,NEWBOLD
CHASE RUSSELL OLIVER / MIKE TER MAAT,1) PRESIDENT / VICE PRESIDENT,T NEWBOLD W 2-4,3,ONEIDA,T,NEWBOLD
CHASE RUSSELL OLIVER / MIKE TER MAAT,1) PRESIDENT / VICE PRESIDENT,T NOKOMIS W 1-2,2,ONEIDA,T,NOKOMIS
CHASE RUSSELL OLIVER / MIKE TER MAAT,1) PRESIDENT / VICE PRESIDENT,T PELICAN W 1- 4,4,ONEIDA,T,PELICAN
CHASE RUSSELL OLIVER / MIKE TER MAAT,1) PRESIDENT / VICE PRESIDENT,T PIEHL W 1,1,ONEIDA,T,PIEHL
CHASE RUSSELL OLIVER / MIKE TER MAAT,1) PRESIDENT / VICE PRESIDENT,T PINE LAKE W 1-4,4,ONEIDA,T,PINE LAKE
CHASE RUSSELL OLIVER / MIKE TER MAAT,1) PRESIDENT / VICE PRESIDENT,T SCHOEPKE W 1,0,ONEIDA,T,SCHOEPKE
CHASE RUSSELL OLIVER / MIKE TER MAAT,1) PRESIDENT / VICE PRESIDENT,T STELLA W 1-2,2,ONEIDA,T,STELLA
CHASE RUSSELL OLIVER / MIKE TER MAAT,1) PRESIDENT / VICE PRESIDENT,T SUGAR CAMP W 1-2,2,ONEIDA,T,SUGAR CAMP
CHASE RUSSELL OLIVER / MIKE TER MAAT,1) PRESIDENT / VICE PRESIDENT,T THREE LAKES W 1-4,10,ONEIDA,T,THREE LAKES
CHASE RUSSELL OLIVER / MIKE TER MAAT,1) PRESIDENT / VICE PRESIDENT,T WOODBORO W 1,1,ONEIDA,T,WOODBORO
CHASE RUSSELL OLIVER / MIKE TER MAAT,1) PRESIDENT / VICE PRESIDENT,T WOODRUFF W 1-3,2,ONEIDA,T,WOODRUFF
CHASE RUSSELL OLIVER / MIKE TER MAAT,1) PRESIDENT / VICE PRESIDENT,C RHINELANDER W 1-17,20,ONEIDA,C,RHINELANDER
JILL STEIN / RUDOLPH WARE,1) PRESIDENT / VICE PRESIDENT,T CASSIAN W 1-2,0,ONEIDA,T,CASSIAN
JILL STEIN / RUDOLPH WARE,1) PRESIDENT / VICE PRESIDENT,T CRESCENT W 1-3,6,ONEIDA,T,CRESCENT
JILL STEIN / RUDOLPH WARE,1) PRESIDENT / VICE PRESIDENT,T ENTERPRISE W 1,0,ONEIDA,T,ENTERPRISE
JILL STEIN / RUDOLPH WARE,1) PRESIDENT / VICE PRESIDENT,T HAZELHURST W 1-2,1,ONEIDA,T,HAZELHURST
JILL STEIN / RUDOLPH WARE,1) PRESIDENT / VICE PRESIDENT,T LAKE TOMAHAWK W 1-2,1,ONEIDA,T,LAKE TOMAHAWK
JILL STEIN / RUDOLPH WARE,1) PRESIDENT / VICE PRESIDENT,T LITTLE RICE W 1,0,ONEIDA,T,LITTLE RICE
JILL STEIN / RUDOLPH WARE,1) PRESIDENT / VICE PRESIDENT,T LYNNE W 1,0,ONEIDA,T,LYNNE
JILL STEIN / RUDOLPH WARE,1) PRESIDENT / VICE PRESIDENT,T MINOCQUA W 1-7,5,ONEIDA,T,MINOCQUA
JILL STEIN / RUDOLPH WARE,1) PRESIDENT / VICE PRESIDENT,T MONICO W 1,0,ONEIDA,T,MONICO
JILL STEIN / RUDOLPH WARE,1) PRESIDENT / VICE PRESIDENT,T NEWBOLD W 1,0,ONEIDA,T,NEWBOLD
JILL STEIN / RUDOLPH WARE,1) PRESIDENT / VICE PRESIDENT,T NEWBOLD W 2-4,0,ONEIDA,T,NEWBOLD
JILL STEIN / RUDOLPH WARE,1) PRESIDENT / VICE PRESIDENT,T NOKOMIS W 1-2,1,ONEIDA,T,NOKOMIS
JILL STEIN / RUDOLPH WARE,1) PRESIDENT / VICE PRESIDENT,T PELICAN W 1- 4,4,ONEIDA,T,PELICAN
JILL STEIN / RUDOLPH WARE,1) PRESIDENT / VICE PRESIDENT,T PIEHL W 1,0,ONEIDA,T,PIEHL
JILL STEIN / RUDOLPH WARE,1) PRESIDENT / VICE PRESIDENT,T PINE LAKE W 1-4,4,ONEIDA,T,PINE LAKE
JILL STEIN / RUDOLPH WARE,1) PRESIDENT / VICE PRESIDENT,T SCHOEPKE W 1,0,ONEIDA,T,SCHOEPKE
JILL STEIN / RUDOLPH WARE,1) PRESIDENT / VICE PRESIDENT,T STELLA W 1-2,1,ONEIDA,T,STELLA
JILL STEIN / RUDOLPH WARE,1) PRESIDENT / VICE PRESIDENT,T SUGAR CAMP W 1-2,2,ONEIDA,T,SUGAR CAMP
JILL STEIN / RUDOLPH WARE,1) PRESIDENT / VICE PRESIDENT,T THREE LAKES W 1-4,3,ONEIDA,T,THREE LAKES
JILL STEIN / RUDOLPH WARE,1) PRESIDENT / VICE PRESIDENT,T WOODBORO W 1,1,ONEIDA,T,WOODBORO
JILL STEIN / RUDOLPH WARE,1) PRESIDENT / VICE PRESIDENT,T WOODRUFF W 1-3,6,ONEIDA,T,WOODRUFF
JILL STEIN / RUDOLPH WARE,1) PRESIDENT / VICE PRESIDENT,C RHINELANDER W 1-17,6,ONEIDA,C,RHINELANDER
CLAUDIA DE LA CRUZ / KARINA GARCIA,1) PRESIDENT / VICE PRESIDENT,T CASSIAN W 1-2,0,ONEIDA,T,CASSIAN
CLAUDIA DE LA CRUZ / KARINA GARCIA,1) PRESIDENT / VICE PRESIDENT,T CRESCENT W 1-3,0,ONEIDA,T,CRESCENT
CLAUDIA DE LA CRUZ / KARINA GARCIA,1) PRESIDENT / VICE PRESIDENT,T ENTERPRISE W 1,0,ONEIDA,T,ENTERPRISE
CLAUDIA DE LA CRUZ / KARINA GARCIA,1) PRESIDENT / VICE PRESIDENT,T HAZELHURST W 1-2,0,ONEIDA,T,HAZELHURST
CLAUDIA DE LA CRUZ / KARINA GARCIA,1) PRESIDENT / VICE PRESIDENT,T LAKE TOMAHAWK W 1-2,0,ONEIDA,T,LAKE TOMAHAWK
CLAUDIA DE LA CRUZ / KARINA GARCIA,1) PRESIDENT / VICE PRESIDENT,T LITTLE RICE W 1,0,ONEIDA,T,LITTLE RICE
CLAUDIA DE LA CRUZ / KARINA GARCIA,1) PRESIDENT / VICE PRESIDENT,T LYNNE W 1,0,ONEIDA,T,LYNNE
CLAUDIA DE LA CRUZ / KARINA GARCIA,1) PRESIDENT / VICE PRESIDENT,T MINOCQUA W 1-7,0,ONEIDA,T,MINOCQUA
CLAUDIA DE LA CRUZ / KARINA GARCIA,1) PRESIDENT / VICE PRESIDENT,T MONICO W 1,0,ONEIDA,T,MONICO
CLAUDIA DE LA CRUZ / KARINA GARCIA,1) PRESIDENT / VICE PRESIDENT,T NEWBOLD W 1,0,ONEIDA,T,NEWBOLD
CLAUDIA DE LA CRUZ / KARINA GARCIA,1) PRESIDENT / VICE PRESIDENT,T NEWBOLD W 2-4,0,ONEIDA,T,NEWBOLD
CLAUDIA DE LA CRUZ / KARINA GARCIA,1) PRESIDENT / VICE PRESIDENT,T NOKOMIS W 1-2,0,ONEIDA,T,NOKOMIS
CLAUDIA DE LA CRUZ / KARINA GARCIA,1) PRESIDENT / VICE PRESIDENT,T PELICAN W 1- 4,0,ONEIDA,T,PELICAN
CLAUDIA DE LA CRUZ / KARINA GARCIA,1) PRESIDENT / VICE PRESIDENT,T PIEHL W 1,0,ONEIDA,T,PIEHL
CLAUDIA DE LA CRUZ / KARINA GARCIA,1) PRESIDENT / VICE PRESIDENT,T PINE LAKE W 1-4,1,ONEIDA,T,PINE LAKE
CLAUDIA DE LA CRUZ / KARINA GARCIA,1) PRESIDENT / VICE PRESIDENT,T SCHOEPKE W 1,0,ONEIDA,T,SCHOEPKE
CLAUDIA DE LA CRUZ / KARINA GARCIA,1) PRESIDENT / VICE PRESIDENT,T STELLA W 1-2,0,ONEIDA,T,STELLA
CLAUDIA DE LA CRUZ / KARINA GARCIA,1) PRESIDENT / VICE PRESIDENT,T SUGAR CAMP W 1-2,0,ONEIDA,T,SUGAR CAMP
CLAUDIA DE LA CRUZ / KARINA GARCIA,1) PRESIDENT / VICE PRESIDENT,T THREE LAKES W 1-4,3,ONEIDA,T,THREE LAKES
CLAUDIA DE LA CRUZ / KARINA GARCIA,1) PRESIDENT / VICE PRESIDENT,T WOODBORO W 1,0,ONEIDA,T,WOODBORO
CLAUDIA DE LA CRUZ / KARINA GARCIA,1) PRESIDENT / VICE PRESIDENT,T WOODRUFF W 1-3,0,ONEIDA,T,WOODRUFF
CLAUDIA DE LA CRUZ / KARINA GARCIA,1) PRESIDENT / VICE PRESIDENT,C RHINELANDER W 1-17,2,ONEIDA,C,RHINELANDER
CORNEL WEST / MELINA ABDULLAH,1) PRESIDENT / VICE PRESIDENT,T CASSIAN W 1-2,0,ONEIDA,T,CASSIAN
CORNEL WEST / MELINA ABDULLAH,1) PRESIDENT / VICE PRESIDENT,T CRESCENT W 1-3,2,ONEIDA,T,CRESCENT
CORNEL WEST / MELINA ABDULLAH,1) PRESIDENT / VICE PRESIDENT,T ENTERPRISE W 1,0,ONEIDA,T,ENTERPRISE
CORNEL WEST / MELINA ABDULLAH,1) PRESIDENT / VICE PRESIDENT,T HAZELHURST W 1-2,0,ONEIDA,T,HAZELHURST
CORNEL WEST / MELINA ABDULLAH,1) PRESIDENT / VICE PRESIDENT,T LAKE TOMAHAWK W 1-2,0,ONEIDA,T,LAKE TOMAHAWK
CORNEL WEST / MELINA ABDULLAH,1) PRESIDENT / VICE PRESIDENT,T LITTLE RICE W 1,0,ONEIDA,T,LITTLE RICE
CORNEL WEST / MELINA ABDULLAH,1) PRESIDENT / VICE PRESIDENT,T LYNNE W 1,0,ONEIDA,T,LYNNE
CORNEL WEST / MELINA ABDULLAH,1) PRESIDENT / VICE PRESIDENT,T MINOCQUA W 1-7,1,ONEIDA,T,MINOCQUA
CORNEL WEST / MELINA ABDULLAH,1) PRESIDENT / VICE PRESIDENT,T MONICO W 1,0,ONEIDA,T,MONICO
CORNEL WEST / MELINA ABDULLAH,1) PRESIDENT / VICE PRESIDENT,T NEWBOLD W 1,0,ONEIDA,T,NEWBOLD
CORNEL WEST / MELINA ABDULLAH,1) PRESIDENT / VICE PRESIDENT,T NEWBOLD W 2-4,1,ONEIDA,T,NEWBOLD
CORNEL WEST / MELINA ABDULLAH,1) PRESIDENT / VICE PRESIDENT,T NOKOMIS W 1-2,0,ONEIDA,T,NOKOMIS
CORNEL WEST / MELINA ABDULLAH,1) PRESIDENT / VICE PRESIDENT,T PELICAN W 1- 4,1,ONEIDA,T,PELICAN
CORNEL WEST / MELINA ABDULLAH,1) PRESIDENT / VICE PRESIDENT,T PIEHL W 1,0,ONEIDA,T,PIEHL
CORNEL WEST / MELINA ABDULLAH,1) PRESIDENT / VICE PRESIDENT,T PINE LAKE W 1-4,1,ONEIDA,T,PINE LAKE
CORNEL WEST / MELINA ABDULLAH,1) PRESIDENT / VICE PRESIDENT,T SCHOEPKE W 1,0,ONEIDA,T,SCHOEPKE
CORNEL WEST / MELINA ABDULLAH,1) PRESIDENT / VICE PRESIDENT,T STELLA W 1-2,0,ONEIDA,T,STELLA
CORNEL WEST / MELINA ABDULLAH,1) PRESIDENT / VICE PRESIDENT,T SUGAR CAMP W 1-2,0,ONEIDA,T,SUGAR CAMP
CORNEL WEST / MELINA ABDULLAH,1) PRESIDENT / VICE PRESIDENT,T THREE LAKES W 1-4,0,ONEIDA,T,THREE LAKES
CORNEL WEST / MELINA ABDULLAH,1) PRESIDENT / VICE PRESIDENT,T WOODBORO W 1,0,ONEIDA,T,WOODBORO
CORNEL WEST / MELINA ABDULLAH,1) PRESIDENT / VICE PRESIDENT,T WOODRUFF W 1-3,1,ONEIDA,T,WOODRUFF
CORNEL WEST / MELINA ABDULLAH,1) PRESIDENT / VICE PRESIDENT,C RHINELANDER W 1-17,1,ONEIDA,C,RHINELANDER
ROBERT F. KENNEDY JR. / NICOLE SHANAHAN,1) PRESIDENT / VICE PRESIDENT,T CASSIAN W 1-2,1,ONEIDA,T,CASSIAN
ROBERT F. KENNEDY JR. / NICOLE SHANAHAN,1) PRESIDENT / VICE PRESIDENT,T CRESCENT W 1-3,7,ONEIDA,T,CRESCENT
ROBERT F. KENNEDY JR. / NICOLE SHANAHAN,1) PRESIDENT / VICE PRESIDENT,T ENTERPRISE W 1,1,ONEIDA,T,ENTERPRISE
ROBERT F. KENNEDY JR. / NICOLE SHANAHAN,1) PRESIDENT / VICE PRESIDENT,T HAZELHURST W 1-2,8,ONEIDA,T,HAZELHURST
ROBERT F. KENNEDY JR. / NICOLE SHANAHAN,1) PRESIDENT / VICE PRESIDENT,T LAKE TOMAHAWK W 1-2,5,ONEIDA,T,LAKE TOMAHAWK
ROBERT F. KENNEDY JR. / NICOLE SHANAHAN,1) PRESIDENT / VICE PRESIDENT,T LITTLE RICE W 1,1,ONEIDA,T,LITTLE RICE
ROBERT F. KENNEDY JR. / NICOLE SHANAHAN,1) PRESIDENT / VICE PRESIDENT,T LYNNE W 1,0,ONEIDA,T,LYNNE
ROBERT F. KENNEDY JR. / NICOLE SHANAHAN,1) PRESIDENT / VICE PRESIDENT,T MINOCQUA W 1-7,14,ONEIDA,T,MINOCQUA
ROBERT F. KENNEDY JR. / NICOLE SHANAHAN,1) PRESIDENT / VICE PRESIDENT,T MONICO W 1,1,ONEIDA,T,MONICO
ROBERT F. KENNEDY JR. / NICOLE SHANAHAN,1) PRESIDENT / VICE PRESIDENT,T NEWBOLD W 1,1,ONEIDA,T,NEWBOLD
ROBERT F. KENNEDY JR. / NICOLE SHANAHAN,1) PRESIDENT / VICE PRESIDENT,T NEWBOLD W 2-4,13,ONEIDA,T,NEWBOLD
ROBERT F. KENNEDY JR. / NICOLE SHANAHAN,1) PRESIDENT / VICE PRESIDENT,T NOKOMIS W 1-2,2,ONEIDA,T,NOKOMIS
ROBERT F. KENNEDY JR. / NICOLE SHANAHAN,1) PRESIDENT / VICE PRESIDENT,T PELICAN W 1- 4,11,ONEIDA,T,PELICAN
ROBERT F. KENNEDY JR. / NICOLE SHANAHAN,1) PRESIDENT / VICE PRESIDENT,T PIEHL W 1,0,ONEIDA,T,PIEHL
ROBERT F. KENNEDY JR. / NICOLE SHANAHAN,1) PRESIDENT / VICE PRESIDENT,T PINE LAKE W 1-4,4,ONEIDA,T,PINE LAKE
ROBERT F. KENNEDY JR. / NICOLE SHANAHAN,1) PRESIDENT / VICE PRESIDENT,T SCHOEPKE W 1,6,ONEIDA,T,SCHOEPKE
ROBERT F. KENNEDY JR. / NICOLE SHANAHAN,1) PRESIDENT / VICE PRESIDENT,T STELLA W 1-2,3,ONEIDA,T,STELLA
ROBERT F. KENNEDY JR. / NICOLE SHANAHAN,1) PRESIDENT / VICE PRESIDENT,T SUGAR CAMP W 1-2,9,ONEIDA,T,SUGAR CAMP
ROBERT F. KENNEDY JR. / NICOLE SHANAHAN,1) PRESIDENT / VICE PRESIDENT,T THREE LAKES W 1-4,9,ONEIDA,T,THREE LAKES
ROBERT F. KENNEDY JR. / NICOLE SHANAHAN,1) PRESIDENT / VICE PRESIDENT,T WOODBORO W 1,1,ONEIDA,T,WOODBORO
ROBERT F. KENNEDY JR. / NICOLE SHANAHAN,1) PRESIDENT / VICE PRESIDENT,T WOODRUFF W 1-3,4,ONEIDA,T,WOODRUFF
ROBERT F. KENNEDY JR. / NICOLE SHANAHAN,1) PRESIDENT / VICE PRESIDENT,C RHINELANDER W 1-17,26,ONEIDA,C,RHINELANDER
PETER SONSKI / LAUREN ONAK (WRITE-IN),1) PRESIDENT / VICE PRESIDENT,T CASSIAN W 1-2,0,ONEIDA,T,CASSIAN
PETER SONSKI / LAUREN ONAK (WRITE-IN),1) PRESIDENT / VICE PRESIDENT,T CRESCENT W 1-3,0,ONEIDA,T,CRESCENT
PETER SONSKI / LAUREN ONAK (WRITE-IN),1) PRESIDENT / VICE PRESIDENT,T ENTERPRISE W 1,0,ONEIDA,T,ENTERPRISE
PETER SONSKI / LAUREN ONAK (WRITE-IN),1) PRESIDENT / VICE PRESIDENT,T HAZELHURST W 1-2,0,ONEIDA,T,HAZELHURST
PETER SONSKI / LAUREN ONAK (WRITE-IN),1) PRESIDENT / VICE PRESIDENT,T LAKE TOMAHAWK W 1-2,0,ONEIDA,T,LAKE TOMAHAWK
PETER SONSKI / LAUREN ONAK (WRITE-IN),1) PRESIDENT / VICE PRESIDENT,T LITTLE RICE W 1,0,ONEIDA,T,LITTLE RICE
